l1-mean,l1-stdv,n_rounds-mean,n_rounds_stdv,num_leaves,min_data_in_leaf,learning_rate
0.05428285255494144,0.0015973477057015465,240.66666666666666,81.63740972536223,9,97,0.00778301920893512
0.05440994835435968,0.001346796105770115,344.1111111111111,120.97056064683622,6,78,0.00559504604974916
0.05443076240841347,0.0019161492965615995,902.0,255.56169074761144,10,71,0.0017574083012982036
0.054477652601921084,0.0014963265141526372,227.44444444444446,88.88333315971137,17,84,0.006180776553476596
0.05449065431187103,0.001690895918414397,431.6666666666667,129.15537585060525,7,86,0.00523437649302428
0.05449252744132305,0.0012140290705736955,372.44444444444446,115.14349608795985,8,43,0.004859884789818185
0.054498284726785626,0.0014950664776234236,1452.7777777777778,346.8940849493394,13,78,0.0010309208479686207
0.05452375299380849,0.0017040559699745624,368.0,155.73695772038184,5,60,0.005444887622882434
0.05453988954021125,0.0016590294088030524,1714.888888888889,534.9233474567371,6,84,0.001098656763102832
0.054549842435391876,0.0014840149915169428,260.77777777777777,73.88696739356193,19,36,0.004422305208741523
0.05457549668541589,0.001863461212210136,472.0,174.0887385470091,10,34,0.0029060652506560686
0.05458711135061344,0.0012764223362366168,635.2222222222222,182.2981549109881,16,96,0.0026527066386846003
0.05458732012514121,0.0014252330943743802,283.6666666666667,47.295759734767856,17,85,0.006080456903173027
0.0546145619626695,0.0017256633802493477,920.2222222222222,283.04133101320804,11,74,0.0018079414054755025
0.05463301039374429,0.0018409594838072914,266.3333333333333,44.800793643763846,14,95,0.007604457820285602
0.05463380206016352,0.001459662076010209,334.77777777777777,96.42703375872439,12,58,0.004957381900848568
0.05463561771378961,0.001539286882013947,262.8888888888889,100.99443817958431,5,69,0.007832616741017947
0.05465028286058373,0.0016997436140531645,636.6666666666666,124.76644848141935,9,39,0.0027752113361739776
0.054659776987369534,0.001817067167430451,217.88888888888889,47.09433663626526,8,58,0.008302701556951798
0.05466519963757846,0.0018679269423999268,505.3333333333333,114.5221958108267,10,44,0.003427320813485617
0.05466707543320647,0.0013176760183321306,1141.0,391.23621736462206,14,36,0.0013150595576535305
0.05466933526798618,0.0012969789899980467,235.11111111111111,43.5646249061079,19,46,0.006266896686264752
0.05467201714815477,0.0019142568111670374,711.0,251.19094109638766,16,46,0.00179439793064759
0.05467484041582147,0.0016616493483612577,449.8888888888889,96.48885306309792,16,44,0.003335006252039553
0.05467541809800655,0.001479041801849306,277.3333333333333,85.90821975935843,15,83,0.0057071900118829495
0.05467882199583989,0.0018157275505079088,1342.0,688.3372881242321,8,68,0.0011249379319744584
0.05468477782154389,0.0020397378605438326,813.8888888888889,202.573138750452,18,50,0.0015460620325968852
0.0546869643586898,0.0018573715320576935,322.22222222222223,87.66575129785453,11,62,0.005012678230340487
0.05468989424285588,0.0014639314501916488,539.3333333333334,133.7136243369887,16,72,0.003047829463281947
0.054690493713815055,0.0014855143056290282,201.77777777777777,71.63142975255388,16,69,0.007836015603630819
0.05469169780697063,0.0014027991817724852,179.66666666666666,51.63762624718961,16,57,0.009217053089491965
0.054697399404511904,0.001609234031072924,350.77777777777777,146.4800159125073,17,79,0.004102756037851434
0.05469891198151116,0.0020739644232235202,273.55555555555554,67.70214359171783,7,92,0.008178749104478548
0.05470466857248557,0.001491808970757306,206.22222222222223,69.98694763672847,12,65,0.0074951084163506956
0.05470810786616916,0.0016281130696400585,191.77777777777777,89.13133602571206,7,56,0.00890446591620289
0.05471261264574632,0.0013742245235575663,259.8888888888889,107.11618245255886,14,36,0.004797930827684408
0.05471532959527891,0.0014517065174580043,432.8888888888889,137.1094003134759,12,43,0.003526252245244873
0.05471893934988497,0.0013083638832765065,489.77777777777777,162.22465751596715,15,44,0.0028579596385838496
0.05473060063518702,0.0013865510386017103,1553.7777777777778,405.2773474980581,9,43,0.0010427542885796629
0.05473648169120135,0.0016789350666048036,519.6666666666666,223.68529480301362,7,34,0.0030711242268651596
0.054743787899838185,0.0014227547661999594,187.11111111111111,100.55230197314613,15,55,0.006959102263580308
0.05475286127517254,0.001683803214724766,537.7777777777778,207.21045542999556,10,74,0.003175464061635689
0.05475706608380451,0.0018180209837746224,160.33333333333334,78.3425526489631,18,69,0.008318029306481425
0.0547610430961954,0.0013799129128348304,326.44444444444446,95.61625978777077,19,88,0.004536138714876803
0.0547760416259211,0.0013832861027046903,253.0,65.9764267666027,13,37,0.006421742179560344
0.05477669322054149,0.0015741227398496501,1056.6666666666667,114.11787278462953,5,80,0.0021285888884872506
0.05478146805679293,0.0016856168960077895,387.1111111111111,136.24442450932273,9,55,0.004797641297807786
0.05478462414898941,0.001660861059283222,457.6666666666667,82.90288830245234,17,81,0.0035471715150050794
0.05478500800148717,0.0016865257214610317,306.55555555555554,91.1020320679708,10,83,0.006028258804530855
0.05480991285176138,0.0016343923892377585,261.55555555555554,92.52400422606391,9,56,0.006286798134541428
0.05481400890058518,0.0016698930890286416,353.1111111111111,56.878905373989134,15,96,0.005022216196646802
0.0548141734026599,0.0017935175045848653,311.22222222222223,85.8173483856884,13,56,0.005343951105627258
0.054816533871810236,0.0016209528063883404,376.0,107.03166717274742,9,87,0.005251360879077408
0.05482102945749764,0.0014965730113370838,1098.111111111111,137.25438219633924,7,69,0.0017963784165475798
0.05482512789852528,0.0015850655260833979,205.88888888888889,75.97140462692298,14,80,0.008275635664385519
0.05482707701380113,0.0015248460773799233,995.2222222222222,289.4207923797604,19,57,0.0015032385674186913
0.05482803940226762,0.0014699331951263952,533.6666666666666,166.2909097535601,11,43,0.0029850324188837483
0.05483523439957802,0.0017500364826429126,638.1111111111111,285.6584769127266,9,81,0.0023927199756357846
0.05483654110166955,0.0016450981177321296,1448.0,291.53082550945146,11,95,0.0012380952460354375
0.054847160287365894,0.0013142461495615476,1104.4444444444443,325.90697756367746,5,69,0.0019441177871032988
0.05486271838039433,0.0017750895258095121,433.8888888888889,103.08081451457228,8,91,0.004479578970557279
0.05486383301278245,0.0017343377630036527,1091.2222222222222,451.39063589405515,11,53,0.0013531744692060952
0.05486573096988797,0.0014811047140089527,417.1111111111111,88.51044438614066,10,79,0.004050834553850643
0.05487772343613812,0.0017040403153972497,583.7777777777778,118.21146567606694,18,73,0.002648795216638703
0.05487932504202738,0.0014993284185754372,297.3333333333333,92.49384363897475,16,55,0.005201956927517699
0.054886366317343734,0.0016011665958768602,142.0,36.66060555964672,17,32,0.008479504121844816
0.05489481423762714,0.0017292521778298976,919.1111111111111,305.429185989684,16,32,0.0014733549248881074
0.054903846183127686,0.0018001270382954403,576.5555555555555,184.39878953031908,16,85,0.0027898284416587433
0.05490496575654123,0.0014580138519276465,683.0,155.64917817536548,14,47,0.0022615403362011887
0.05490889463768851,0.0017260202702486785,816.3333333333334,285.6489687244351,9,30,0.0019471099678183082
0.05491043631648693,0.0015813958130428357,160.22222222222223,50.62888454842042,18,74,0.008762143171123402
0.05491274154918813,0.0013695370132370043,183.66666666666666,42.9340579648993,13,46,0.009086158951995138
0.054918227954785875,0.0016386411591973035,332.1111111111111,87.60827516018799,7,34,0.0043178123141186285
0.054925981705135435,0.0014931539629949378,1154.3333333333333,354.2757871113031,6,92,0.0016304750646404084
0.05494747610765095,0.0016836238197734156,272.6666666666667,79.21419625855513,18,55,0.005346928742181568
0.0549479848269117,0.0016717721074529328,711.5555555555555,129.31452707867066,17,74,0.002078106350928487
0.054961364335338124,0.0014790216737313204,178.44444444444446,70.06681114972594,19,61,0.007756584156089586
0.05496141316304511,0.0014559203029973608,681.6666666666666,91.83439200841673,19,82,0.0022380470754472894
0.05497729752354783,0.0017106905060123112,393.22222222222223,113.64934157093113,11,64,0.004646806990421317
0.05498902859811977,0.001725810470198285,582.8888888888889,262.8537592758226,5,39,0.0034587261772043103
0.054989363700202666,0.0015037015864961148,530.8888888888889,159.130585400408,17,57,0.003115564926947484
0.05499144706961516,0.0017066446531354583,441.77777777777777,123.43939383607359,7,58,0.0042691673267214935
0.0549925252612887,0.0016979129104822469,353.55555555555554,55.38774656127294,12,57,0.004986699617299919
0.05499534002304795,0.0018671238797765362,826.0,135.38997172776294,7,82,0.0022632993280595043
0.054996275433029734,0.0013649942074808756,365.3333333333333,115.20127314111305,14,58,0.0045164584343351695
0.05499784609722114,0.0019909451142292936,176.66666666666666,23.118054512532936,16,78,0.009757019915956608
0.05500172466112647,0.0015342345933119555,807.6666666666666,287.35576091899276,14,96,0.001978003643843519
0.05502450415598812,0.0014104371853106764,687.0,208.41038575101985,7,54,0.002624726140365676
0.055042853590568624,0.001583980233817816,371.3333333333333,92.48423289044102,15,83,0.0042796804581901726
0.055054140672602676,0.0015815433787839453,717.8888888888889,230.44615878500866,18,41,0.0018111968582168137
0.055058268628634645,0.00140473002926624,160.22222222222223,81.42177947477877,14,41,0.008897717774343155
0.055058722121745333,0.0016293456945654747,964.4444444444445,223.92960754621632,13,45,0.0016778521894370156
0.05506255293624919,0.0012402722919503263,1296.111111111111,649.6485279568816,6,35,0.001209775335414014
0.055105289567195855,0.0015237038225920346,1615.111111111111,510.6550138889038,12,64,0.0010347974632385622
0.0551126418281993,0.0016731390241746737,231.22222222222223,61.38001444150617,13,50,0.007309017191732633
0.05511715434926625,0.001388736645296402,845.4444444444445,281.7891690652235,19,45,0.0016846852625234734
0.055146366181131584,0.0014515113859996734,609.4444444444445,174.24383369361144,15,73,0.00261507362210452
0.05523185816062353,0.0013638384355261362,465.1111111111111,178.67129623631612,16,31,0.0024788210718016644
0.055279775287260954,0.001851132817214812,227.66666666666666,51.14250243736178,14,82,0.008050174350435787
0.05532474224030519,0.0015988193942177045,353.3333333333333,98.06687060935059,14,33,0.004181156706273075
